oid,collname,collnamespace,collowner
13064,es-EA-x-icu,11,10
13065,es-EC-x-icu,11,10
13066,es-ES-x-icu,11,10
13067,es-GQ-x-icu,11,10
13068,es-GT-x-icu,11,10
13069,es-HN-x-icu,11,10
13070,es-IC-x-icu,11,10
13071,es-MX-x-icu,11,10
13072,es-NI-x-icu,11,10
13073,es-PA-x-icu,11,10
13074,es-PE-x-icu,11,10
13075,es-PH-x-icu,11,10
13076,es-PR-x-icu,11,10
13077,es-PY-x-icu,11,10
13078,es-SV-x-icu,11,10
13079,es-US-x-icu,11,10
13080,es-UY-x-icu,11,10
13081,es-VE-x-icu,11,10
13082,et-x-icu,11,10
13083,et-EE-x-icu,11,10
13084,eu-x-icu,11,10
13085,eu-ES-x-icu,11,10
13086,ewo-x-icu,11,10
13087,ewo-CM-x-icu,11,10
13088,fa-x-icu,11,10
13089,fa-AF-x-icu,11,10
13090,fa-IR-x-icu,11,10
13091,ff-x-icu,11,10
13092,ff-Adlm-x-icu,11,10
13093,ff-Adlm-BF-x-icu,11,10
13094,ff-Adlm-CM-x-icu,11,10
13095,ff-Adlm-GH-x-icu,11,10
13096,ff-Adlm-GM-x-icu,11,10
13097,ff-Adlm-GN-x-icu,11,10
13098,ff-Adlm-GW-x-icu,11,10
13099,ff-Adlm-LR-x-icu,11,10
13100,ff-Adlm-MR-x-icu,11,10
13101,ff-Adlm-NE-x-icu,11,10
13102,ff-Adlm-NG-x-icu,11,10
13103,ff-Adlm-SL-x-icu,11,10
13104,ff-Adlm-SN-x-icu,11,10
13105,ff-Latn-x-icu,11,10
13106,ff-Latn-BF-x-icu,11,10
13107,ff-Latn-CM-x-icu,11,10
13108,ff-Latn-GH-x-icu,11,10
13109,ff-Latn-GM-x-icu,11,10
13110,ff-Latn-GN-x-icu,11,10
13111,ff-Latn-GW-x-icu,11,10
13112,ff-Latn-LR-x-icu,11,10
13113,ff-Latn-MR-x-icu,11,10
13114,ff-Latn-NE-x-icu,11,10
13115,ff-Latn-NG-x-icu,11,10
13116,ff-Latn-SL-x-icu,11,10
13117,ff-Latn-SN-x-icu,11,10
13118,fi-x-icu,11,10
13119,fi-FI-x-icu,11,10
13120,fil-x-icu,11,10
13121,fil-PH-x-icu,11,10
13122,fo-x-icu,11,10
13123,fo-DK-x-icu,11,10
13124,fo-FO-x-icu,11,10
13125,fr-x-icu,11,10
13126,fr-BE-x-icu,11,10
13127,fr-BF-x-icu,11,10
13128,fr-BI-x-icu,11,10
13129,fr-BJ-x-icu,11,10
13130,fr-BL-x-icu,11,10
13131,fr-CA-x-icu,11,10
13132,fr-CD-x-icu,11,10
13133,fr-CF-x-icu,11,10
13134,fr-CG-x-icu,11,10
13135,fr-CH-x-icu,11,10
13136,fr-CI-x-icu,11,10
13137,fr-CM-x-icu,11,10
13138,fr-DJ-x-icu,11,10
13139,fr-DZ-x-icu,11,10
13140,fr-FR-x-icu,11,10
13141,fr-GA-x-icu,11,10
13142,fr-GF-x-icu,11,10
13143,fr-GN-x-icu,11,10
13144,fr-GP-x-icu,11,10
13145,fr-GQ-x-icu,11,10
13146,fr-HT-x-icu,11,10
13147,fr-KM-x-icu,11,10
13148,fr-LU-x-icu,11,10
13149,fr-MA-x-icu,11,10
13150,fr-MC-x-icu,11,10
13151,fr-MF-x-icu,11,10
13152,fr-MG-x-icu,11,10
13153,fr-ML-x-icu,11,10
13154,fr-MQ-x-icu,11,10
13155,fr-MR-x-icu,11,10
13156,fr-MU-x-icu,11,10
13157,fr-NC-x-icu,11,10
13158,fr-NE-x-icu,11,10
13159,fr-PF-x-icu,11,10
13160,fr-PM-x-icu,11,10
13161,fr-RE-x-icu,11,10
13162,fr-RW-x-icu,11,10
13163,fr-SC-x-icu,11,10
13164,fr-SN-x-icu,11,10
13165,fr-SY-x-icu,11,10
13166,fr-TD-x-icu,11,10
13167,fr-TG-x-icu,11,10
13168,fr-TN-x-icu,11,10
13169,fr-VU-x-icu,11,10
13170,fr-WF-x-icu,11,10
13171,fr-YT-x-icu,11,10
13172,fur-x-icu,11,10
13173,fur-IT-x-icu,11,10
13174,fy-x-icu,11,10
13175,fy-NL-x-icu,11,10
13176,ga-x-icu,11,10
13177,ga-GB-x-icu,11,10
13178,ga-IE-x-icu,11,10
13179,gd-x-icu,11,10
13180,gd-GB-x-icu,11,10
13181,gl-x-icu,11,10
13182,gl-ES-x-icu,11,10
13183,gsw-x-icu,11,10
13184,gsw-CH-x-icu,11,10
13185,gsw-FR-x-icu,11,10
13186,gsw-LI-x-icu,11,10
13187,gu-x-icu,11,10
13188,gu-IN-x-icu,11,10
13189,guz-x-icu,11,10
13190,guz-KE-x-icu,11,10
13191,gv-x-icu,11,10
13192,gv-IM-x-icu,11,10
13193,ha-x-icu,11,10
13194,ha-GH-x-icu,11,10
13195,ha-NE-x-icu,11,10
13196,ha-NG-x-icu,11,10
13197,haw-x-icu,11,10
13198,haw-US-x-icu,11,10
13199,he-x-icu,11,10
13200,he-IL-x-icu,11,10
13201,hi-x-icu,11,10
13202,hi-IN-x-icu,11,10
13203,hr-x-icu,11,10
13204,hr-BA-x-icu,11,10
13205,hr-HR-x-icu,11,10
13206,hsb-x-icu,11,10
13207,hsb-DE-x-icu,11,10
13208,hu-x-icu,11,10
13209,hu-HU-x-icu,11,10
13210,hy-x-icu,11,10
13211,hy-AM-x-icu,11,10
13212,ia-x-icu,11,10
13213,ia-001-x-icu,11,10
13214,id-x-icu,11,10
13215,id-ID-x-icu,11,10
13216,ig-x-icu,11,10
13217,ig-NG-x-icu,11,10
13218,ii-x-icu,11,10
13219,ii-CN-x-icu,11,10
13220,is-x-icu,11,10
13221,is-IS-x-icu,11,10
13222,it-x-icu,11,10
13223,it-CH-x-icu,11,10
13224,it-IT-x-icu,11,10
13225,it-SM-x-icu,11,10
13226,it-VA-x-icu,11,10
13227,ja-x-icu,11,10
13228,ja-JP-x-icu,11,10
13229,jgo-x-icu,11,10
13230,jgo-CM-x-icu,11,10
13231,jmc-x-icu,11,10
13232,jmc-TZ-x-icu,11,10
13233,jv-x-icu,11,10
13234,jv-ID-x-icu,11,10
13235,ka-x-icu,11,10
13236,ka-GE-x-icu,11,10
13237,kab-x-icu,11,10
13238,kab-DZ-x-icu,11,10
13239,kam-x-icu,11,10
13240,kam-KE-x-icu,11,10
13241,kde-x-icu,11,10
13242,kde-TZ-x-icu,11,10
13243,kea-x-icu,11,10
13244,kea-CV-x-icu,11,10
13245,khq-x-icu,11,10
13246,khq-ML-x-icu,11,10
13247,ki-x-icu,11,10
13248,ki-KE-x-icu,11,10
13249,kk-x-icu,11,10
13250,kk-KZ-x-icu,11,10
13251,kkj-x-icu,11,10
13252,kkj-CM-x-icu,11,10
13253,kl-x-icu,11,10
13254,kl-GL-x-icu,11,10
13255,kln-x-icu,11,10
13256,kln-KE-x-icu,11,10
13257,km-x-icu,11,10
13258,km-KH-x-icu,11,10
13259,kn-x-icu,11,10
13260,kn-IN-x-icu,11,10
13261,ko-x-icu,11,10
13262,ko-KP-x-icu,11,10
13263,ko-KR-x-icu,11,10
13264,kok-x-icu,11,10
13265,kok-IN-x-icu,11,10
13266,ks-x-icu,11,10
13267,ks-Arab-x-icu,11,10
13268,ks-Arab-IN-x-icu,11,10
13269,ksb-x-icu,11,10
13270,ksb-TZ-x-icu,11,10
13271,ksf-x-icu,11,10
13272,ksf-CM-x-icu,11,10
13273,ksh-x-icu,11,10
13274,ksh-DE-x-icu,11,10
13275,ku-x-icu,11,10
13276,ku-TR-x-icu,11,10
13277,kw-x-icu,11,10
13278,kw-GB-x-icu,11,10
13279,ky-x-icu,11,10
13280,ky-KG-x-icu,11,10
13281,lag-x-icu,11,10
13282,lag-TZ-x-icu,11,10
13283,lb-x-icu,11,10
13284,lb-LU-x-icu,11,10
13285,lg-x-icu,11,10
13286,lg-UG-x-icu,11,10
13287,lkt-x-icu,11,10
13288,lkt-US-x-icu,11,10
13289,ln-x-icu,11,10
13290,ln-AO-x-icu,11,10
13291,ln-CD-x-icu,11,10
13292,ln-CF-x-icu,11,10
13293,ln-CG-x-icu,11,10
13294,lo-x-icu,11,10
13295,lo-LA-x-icu,11,10
13296,lrc-x-icu,11,10
13297,lrc-IQ-x-icu,11,10
13298,lrc-IR-x-icu,11,10
13299,lt-x-icu,11,10
13300,lt-LT-x-icu,11,10
13301,lu-x-icu,11,10
13302,lu-CD-x-icu,11,10
13303,luo-x-icu,11,10
13304,luo-KE-x-icu,11,10
13305,luy-x-icu,11,10
13306,luy-KE-x-icu,11,10
13307,lv-x-icu,11,10
13308,lv-LV-x-icu,11,10
13309,mai-x-icu,11,10
13310,mai-IN-x-icu,11,10
13311,mas-x-icu,11,10
13312,mas-KE-x-icu,11,10
13313,mas-TZ-x-icu,11,10
13314,mer-x-icu,11,10
13315,mer-KE-x-icu,11,10
13316,mfe-x-icu,11,10
13317,mfe-MU-x-icu,11,10
13318,mg-x-icu,11,10
13319,mg-MG-x-icu,11,10
13320,mgh-x-icu,11,10
13321,mgh-MZ-x-icu,11,10
13322,mgo-x-icu,11,10
13323,mgo-CM-x-icu,11,10
13324,mi-x-icu,11,10
13325,mi-NZ-x-icu,11,10
13326,mk-x-icu,11,10
13327,mk-MK-x-icu,11,10
13328,ml-x-icu,11,10
13329,ml-IN-x-icu,11,10
13330,mn-x-icu,11,10
13331,mn-MN-x-icu,11,10
13332,mni-x-icu,11,10
13333,mni-Beng-x-icu,11,10
13334,mni-Beng-IN-x-icu,11,10
13335,mr-x-icu,11,10
13336,mr-IN-x-icu,11,10
13337,ms-x-icu,11,10
13338,ms-BN-x-icu,11,10
13339,ms-ID-x-icu,11,10
13340,ms-MY-x-icu,11,10
13341,ms-SG-x-icu,11,10
13342,mt-x-icu,11,10
13343,mt-MT-x-icu,11,10
13344,mua-x-icu,11,10
13345,mua-CM-x-icu,11,10
13346,my-x-icu,11,10
13347,my-MM-x-icu,11,10
13348,mzn-x-icu,11,10
13349,mzn-IR-x-icu,11,10
13350,naq-x-icu,11,10
13351,naq-NA-x-icu,11,10
13352,nb-x-icu,11,10
13353,nb-NO-x-icu,11,10
13354,nb-SJ-x-icu,11,10
13355,nd-x-icu,11,10
13356,nd-ZW-x-icu,11,10
13357,ne-x-icu,11,10
13358,ne-IN-x-icu,11,10
13359,ne-NP-x-icu,11,10
13360,nl-x-icu,11,10
13361,nl-AW-x-icu,11,10
13362,nl-BE-x-icu,11,10
13363,nl-BQ-x-icu,11,10
13364,nl-CW-x-icu,11,10
